# ab-pass9: adv-gate / spiral-skill-sentinel / mutation-logger, per-run alternation, 20 runs
advgate-write-benign(fast)	old	runs=20	mean=7.9	p95=10	min=4	max=13
advgate-write-benign(fast)	new	runs=20	mean=3.2	p95=5	min=1	max=5
advgate-completed-in-content(slow)	old	runs=20	mean=8.6	p95=11	min=3	max=11
advgate-completed-in-content(slow)	new	runs=20	mean=8.4	p95=10	min=3	max=11
advgate-1MB-benign(fast)	old	runs=20	mean=20.4	p95=26	min=16	max=27
advgate-1MB-benign(fast)	new	runs=20	mean=22.4	p95=26	min=17	max=27
sentinel-skill-implement(fast)	old	runs=20	mean=6.6	p95=11	min=3	max=11
sentinel-skill-implement(fast)	new	runs=20	mean=2.5	p95=4	min=1	max=4
sentinel-skill-spiraling(slow)	old	runs=20	mean=11.6	p95=14	min=9	max=14
sentinel-skill-spiraling(slow)	new	runs=20	mean=11.8	p95=14	min=8	max=14
ml-benign(ls)	old	runs=20	mean=9.8	p95=15	min=4	max=15
ml-benign(ls)	new	runs=20	mean=7.6	p95=12	min=3	max=12
ml-mutating(git-commit)	old	runs=20	mean=13.3	p95=17	min=7	max=18
ml-mutating(git-commit)	new	runs=20	mean=12.6	p95=16	min=5	max=17
ml-nearmiss	old	runs=20	mean=12.9	p95=16	min=5	max=22
ml-nearmiss	new	runs=20	mean=10.0	p95=12	min=4	max=17
ml-100KB-benign	old	runs=20	mean=46.6	p95=54	min=40	max=55
ml-100KB-benign	new	runs=20	mean=47.4	p95=53	min=42	max=61
