OLD/kp/write-grim-warn	20	31.424	66.556	87.602	89.777	0
NEW/kp/write-grim-warn	20	13.284	26.567	35.923	38.054	0
OLD/kp/edit-tests-warn	20	36.896	48.069	70.916	82.478	0
NEW/kp/edit-tests-warn	20	19.591	28.310	35.097	37.385	0
OLD/stop/idle	20	12.158	21.083	38.822	42.084	0
NEW/stop/idle	20	3.482	4.976	6.476	7.777	0
OLD/ml/bash-benign	20	10.162	15.528	20.069	20.502	0
NEW/ml/bash-benign	20	7.779	12.454	14.642	15.193	0
OLD/ml/bash-mutating	20	14.015	22.078	32.674	33.901	0
NEW/ml/bash-mutating	20	8.338	14.817	20.885	22.464	0
OLD/wml/write-grim	20	11.743	13.571	16.632	23.105	0
NEW/wml/write-grim	20	5.238	6.481	7.836	8.501	0
OLD/wml/edit-tests	20	8.595	16.394	27.730	29.837	0
NEW/wml/edit-tests	20	4.881	7.966	11.072	11.716	0
OLD/zwg/write-grim	20	12.121	26.967	34.438	35.745	0
NEW/zwg/write-grim	20	16.808	23.027	26.760	27.049	0
OLD/zwg/write-claude	20	8.033	12.354	21.142	24.007	2
NEW/zwg/write-claude	20	15.531	21.537	27.626	28.050	2
OLD/zwg/edit-tests	20	21.215	35.065	40.673	41.144	0
NEW/zwg/edit-tests	20	9.208	17.933	24.360	25.554	0
OLD/advgate/write-grim	20	2.877	3.759	4.831	5.102	0
NEW/advgate/write-grim	20	6.347	9.016	10.245	10.266	0
OLD/advgate/completed	20	11.936	19.894	24.871	26.358	2
NEW/advgate/completed	20	16.316	31.353	40.486	41.469	2
OLD/spiral-guard/grim	20	3.997	7.503	9.784	10.602	0
NEW/spiral-guard/grim	20	2.454	3.109	4.630	4.871	0
