label	runs	min_ms	mean_ms	p95_ms	max_ms	exit
floor/fork-exec-true	20	0.771	1.439	2.020	2.241	0
floor/sh-noop	20	1.016	1.515	2.361	2.601	0
floor/bash-noop	20	0.660	0.877	1.408	1.568	0
floor/bash-norc-noop	20	0.897	1.795	2.821	2.826	0
floor/jq-startup	20	1.310	1.874	2.401	2.423	0
floor/yq-startup	20	1.880	4.386	6.676	7.235	0
floor/git-rev-parse	20	0.680	0.872	1.348	1.430	0
block-destructive/bash-benign	20	3.720	5.853	11.548	12.118	0
block-destructive/bash-mutating	20	7.903	9.850	11.227	11.945	0
block-destructive/bash-destructive	20	7.431	14.019	16.268	16.895	0
block-destructive/bash-blocked	20	15.193	30.350	37.558	39.409	2
block-destructive/bash-benign-utf8	20	3.279	4.311	5.649	5.893	0
team-role-guard/bash-benign	20	0.960	1.351	2.206	3.036	0
team-role-guard/bash-mutating+TEAM	20	3.547	7.802	11.720	12.307	2
mutation-logger/bash-benign	20	4.116	6.934	12.437	13.559	0
mutation-logger/bash-mutating	20	6.906	14.900	18.222	18.263	0
team-role-guard-write/write-grim	20	0.938	3.378	4.894	10.585	0
team-role-guard-write/write-grim+TEAM	20	5.190	10.868	15.176	16.071	2
team-role-guard-write/write-claude+TEAM	20	10.072	14.331	16.664	17.314	2
spiral-dispatch-guard/write-grim	20	2.484	3.362	4.263	4.320	0
zone-write-guard/write-grim	20	9.137	18.632	21.750	22.515	0
zone-write-guard/write-claude	20	5.942	9.715	17.621	19.974	2
zone-write-guard/edit-tests	20	6.641	16.098	20.928	22.201	0
adversarial-gate/write-grim	20	5.053	8.768	11.216	11.632	0
adversarial-gate/write-completed	20	26.707	35.374	41.432	41.873	2
write-mutation-logger/write-grim	20	7.684	9.755	11.332	11.658	0
write-mutation-logger/edit-tests	20	3.307	7.641	10.621	10.954	0
karpathy-diff/write-grim-fresh	20	9.819	20.434	25.215	27.241	0
karpathy-diff/write-grim-warn	20	17.897	22.440	24.604	26.173	0
karpathy-diff/edit-tests-warn	20	8.216	15.282	23.862	25.539	0
team-skill-guard/skill-implement	20	1.158	2.562	3.701	4.300	0
team-skill-guard/skill-implement+TEAM	20	2.747	5.437	9.220	9.627	0
spiral-skill-sentinel/skill-implement	20	3.461	8.061	10.427	10.480	0
run-mode-stop-guard/stop-idle	20	3.523	5.178	7.094	10.419	0
settings-cleanup/small	20	4.941	6.680	7.997	9.911	0
settings-cleanup/large	20	50.233	59.074	68.116	72.610	0
post-compact-reminder/no-marker	20	1.744	3.368	4.592	4.640	0
post-compact-reminder/marker	20	5.761	10.327	17.014	17.538	0
cleanup-context/no-context-dir	20	1.514	3.329	4.354	4.671	0
cleanup-context/full-archive	20	16.009	32.331	49.312	51.611	0
beads-health/--json	20	95.224	109.820	124.107	137.887	4
beads-health/--quick-json	20	18.221	43.219	50.680	55.277	4
check-updates/--notify	20	11.296	25.329	36.405	37.758	1
golden-path/source-only	20	23.983	49.709	55.937	55.966	0
