combo	version	runs	min_ms	mean_ms	p95_ms	max_ms
settings-cleanup/large	old	20	72.271	90.271	101.052	151.937
settings-cleanup/large	new	20	53.038	59.374	65.693	67.067
settings-cleanup/small	old	20	2.777	6.508	9.825	12.217
settings-cleanup/small	new	20	2.759	6.084	8.830	9.454
post-compact/marker	old	20	20.866	39.682	55.931	57.003
post-compact/marker	new	20	8.034	14.162	19.634	20.084
post-compact/no-marker	old	20	2.430	4.436	6.521	6.581
post-compact/no-marker	new	20	2.717	4.596	6.562	6.922
mutation-logger/mutating	old	20	6.981	15.541	21.724	22.756
mutation-logger/mutating	new	20	6.417	12.960	18.774	19.315
mutation-logger/benign	old	20	7.934	13.247	16.189	16.285
mutation-logger/benign	new	20	6.528	12.099	15.660	16.325
write-mutation-logger/write-grim	old	20	4.351	8.863	13.984	15.534
write-mutation-logger/write-grim	new	20	3.500	6.984	12.294	12.540
karpathy/write-grim-warn	old	20	18.708	29.213	38.113	38.711
karpathy/write-grim-warn	new	20	14.261	25.949	32.230	32.309
cleanup-context/full-archive	old	20	21.927	39.670	53.677	54.506
cleanup-context/full-archive	new	20	21.551	37.169	52.582	55.177
cleanup-context/no-context-dir	old	20	3.441	5.197	6.558	6.799
cleanup-context/no-context-dir	new	20	2.251	5.055	6.814	7.816
